C,participant,context,session,axis,n_outliers,pct_outliers
2.5,Jun,crowded,session_1,gyro_y,5,0.027725407563491185
2.5,Jun,crowded,session_1,gyro_z,0,0.0
2.5,Jun,crowded,session_2,acc_x,1,0.005545389009038984
2.5,Jun,crowded,session_2,acc_y,2,0.011090778018077969
2.5,Jun,crowded,session_2,acc_z,20,0.11090778018077968
2.5,Jun,crowded,session_2,gyro_x,0,0.0
2.5,Jun,crowded,session_2,gyro_y,11,0.06099927909942882
2.5,Jun,crowded,session_2,gyro_z,0,0.0
2.5,Jun,normal,session_1,acc_x,0,0.0
2.5,Jun,normal,session_1,acc_y,0,0.0
2.5,Jun,normal,session_1,acc_z,26,0.14417211933015414
2.5,Jun,normal,session_1,gyro_x,0,0.0
2.5,Jun,normal,session_1,gyro_y,1,0.005545081512698237
2.5,Jun,normal,session_1,gyro_z,0,0.0
2.5,Jun,normal,session_2,acc_x,2,0.011088933244621867
2.5,Jun,normal,session_2,acc_y,0,0.0
2.5,Jun,normal,session_2,acc_z,13,0.07207806609004214
2.5,Jun,normal,session_2,gyro_x,0,0.0
2.5,Jun,normal,session_2,gyro_y,5,0.02772233311155467
2.5,Jun,normal,session_2,gyro_z,0,0.0
2.5,Jun,normal,session_3,acc_x,0,0.0
2.5,Jun,normal,session_3,acc_y,0,0.0
2.5,Jun,normal,session_3,acc_z,68,0.37696102888186706
2.5,Jun,normal,session_3,gyro_x,0,0.0
2.5,Jun,normal,session_3,gyro_y,4,0.02217417816952159
2.5,Jun,normal,session_3,gyro_z,0,0.0
2.5,Oana,crowded,session_1,acc_x,5,0.027667109340416114
2.5,Oana,crowded,session_1,acc_y,84,0.4648074369189907
2.5,Oana,crowded,session_1,acc_z,7,0.03873395307658256
2.5,Oana,crowded,session_1,gyro_x,0,0.0
2.5,Oana,crowded,session_1,gyro_y,0,0.0
2.5,Oana,crowded,session_1,gyro_z,0,0.0
2.5,Oana,crowded,session_2,acc_x,0,0.0
2.5,Oana,crowded,session_2,acc_y,79,0.43716451773559845
2.5,Oana,crowded,session_2,acc_z,1,0.0055337280726025125
2.5,Oana,crowded,session_2,gyro_x,0,0.0
2.5,Oana,crowded,session_2,gyro_y,0,0.0
2.5,Oana,crowded,session_2,gyro_z,0,0.0
2.5,Oana,normal,session_1,acc_x,0,0.0
2.5,Oana,normal,session_1,acc_y,72,0.39926800865080686
2.5,Oana,normal,session_1,acc_z,0,0.0
2.5,Oana,normal,session_1,gyro_x,0,0.0
2.5,Oana,normal,session_1,gyro_y,0,0.0
2.5,Oana,normal,session_1,gyro_z,0,0.0
2.5,Oana,normal,session_2,acc_x,0,0.0
2.5,Oana,normal,session_2,acc_y,52,0.2882643162037807
2.5,Oana,normal,session_2,acc_z,0,0.0
2.5,Oana,normal,session_2,gyro_x,0,0.0
2.5,Oana,normal,session_2,gyro_y,0,0.0
2.5,Oana,normal,session_2,gyro_z,0,0.0
2.5,Oana,normal,session_3,acc_x,0,0.0
2.5,Oana,normal,session_3,acc_y,65,0.3604702750665484
2.5,Oana,normal,session_3,acc_z,0,0.0
2.5,Oana,normal,session_3,gyro_x,0,0.0
2.5,Oana,normal,session_3,gyro_y,0,0.0
2.5,Oana,normal,session_3,gyro_z,0,0.0
